timestamp,ADC4,ADC5,ADC6,datetime,delta_s,P1,P2,P3
1752497150000000000,929,1185,1857,2025-07-14 12:45:50,0.0,,,
1752497150000000000,945,1201,1393,2025-07-14 12:45:50,0.0,,,
1752497152000000000,912,1216,1377,2025-07-14 12:45:52,2.0,,,
1752497153000000000,912,1200,1376,2025-07-14 12:45:53,1.0,,,
1752497154000000000,880,1217,1424,2025-07-14 12:45:54,1.0,,,
1752497155000000000,961,1200,1425,2025-07-14 12:45:55,1.0,,,
1752497156000000000,944,1216,1376,2025-07-14 12:45:56,1.0,,,
1752497156000000000,896,1216,1393,2025-07-14 12:45:56,0.0,,,
1752497157000000000,880,1184,1409,2025-07-14 12:45:57,1.0,,,
1752497158000000000,849,1216,1376,2025-07-14 12:45:58,1.0,,,
1752497160000000000,864,1201,1377,2025-07-14 12:46:00,2.0,,,
1752497161000000000,833,1200,1424,2025-07-14 12:46:01,1.0,,,
1752497162000000000,848,1201,1360,2025-07-14 12:46:02,1.0,,,
1752497164000000000,849,1200,1393,2025-07-14 12:46:04,2.0,,,
1752497165000000000,817,1217,1392,2025-07-14 12:46:05,1.0,,,
1752497166000000000,849,1200,1376,2025-07-14 12:46:06,1.0,,,
1752497168000000000,848,1201,1441,2025-07-14 12:46:08,2.0,,,
1752497169000000000,848,1217,1377,2025-07-14 12:46:09,1.0,,,
1752497170000000000,880,1184,1392,2025-07-14 12:46:10,1.0,,,
1752497172000000000,881,1200,1376,2025-07-14 12:46:12,2.0,,,
1752497173000000000,912,1216,1377,2025-07-14 12:46:13,1.0,,,
1752497174000000000,897,1201,1425,2025-07-14 12:46:14,1.0,,,
1752497176000000000,912,1200,1376,2025-07-14 12:46:16,2.0,,,
1752497177000000000,897,1201,1409,2025-07-14 12:46:17,1.0,,,
1752497178000000000,864,1217,1376,2025-07-14 12:46:18,1.0,,,
1752497180000000000,896,1201,1409,2025-07-14 12:46:20,2.0,,,
1752497181000000000,865,1217,1377,2025-07-14 12:46:21,1.0,,,
1752497182000000000,848,1216,1361,2025-07-14 12:46:22,1.0,,,
1752497184000000000,849,1200,1424,2025-07-14 12:46:24,2.0,,,
1752497185000000000,849,1216,1360,2025-07-14 12:46:25,1.0,,,
1752497186000000000,864,1200,1409,2025-07-14 12:46:26,1.0,,,
1752497188000000000,832,1201,1393,2025-07-14 12:46:28,2.0,,,
1752497189000000000,880,1200,1377,2025-07-14 12:46:29,1.0,,,
1752497190000000000,880,1216,1424,2025-07-14 12:46:30,1.0,,,
1752497192000000000,897,1216,1377,2025-07-14 12:46:32,2.0,,,
1752497193000000000,896,1185,1408,2025-07-14 12:46:33,1.0,,,
1752497194000000000,864,1217,1409,2025-07-14 12:46:34,1.0,,,
1752497196000000000,881,1200,1377,2025-07-14 12:46:36,2.0,,,
1752497197000000000,881,1200,1440,2025-07-14 12:46:37,1.0,,,
1752497198000000000,880,1216,1361,2025-07-14 12:46:38,1.0,,,
1752497200000000000,880,1201,1409,2025-07-14 12:46:40,2.0,,,
1752497201000000000,848,1216,1393,2025-07-14 12:46:41,1.0,,,
1752497202000000000,880,1200,1377,2025-07-14 12:46:42,1.0,,,
1752497204000000000,881,1201,1425,2025-07-14 12:46:44,2.0,,,
1752497205000000000,913,1217,1376,2025-07-14 12:46:45,1.0,,,
1752497206000000000,928,1200,1392,2025-07-14 12:46:46,1.0,,,
1752497208000000000,944,1217,1409,2025-07-14 12:46:48,2.0,,,
1752497209000000000,976,1200,1344,2025-07-14 12:46:49,1.0,,,
1752497210000000000,961,1200,1408,2025-07-14 12:46:50,1.0,,,
1752497212000000000,960,1217,1392,2025-07-14 12:46:52,2.0,,,
1752497213000000000,977,1201,1392,2025-07-14 12:46:53,1.0,,,
1752497214000000000,961,1200,1425,2025-07-14 12:46:54,1.0,,,
1752497216000000000,977,1217,1376,2025-07-14 12:46:56,2.0,,,
1752497217000000000,992,1201,1425,2025-07-14 12:46:57,1.0,,,
1752497218000000000,961,1216,1408,2025-07-14 12:46:58,1.0,,,
1752497220000000000,992,1201,1361,2025-07-14 12:47:00,2.0,,,
1752497221000000000,977,1201,1424,2025-07-14 12:47:01,1.0,,,
1752497222000000000,961,1217,1409,2025-07-14 12:47:02,1.0,,,
1752497224000000000,993,1216,1409,2025-07-14 12:47:04,2.0,,,
1752497225000000000,977,1216,1441,2025-07-14 12:47:05,1.0,,,
1752497226000000000,977,1216,1377,2025-07-14 12:47:06,1.0,,,
1752497228000000000,913,1200,1425,2025-07-14 12:47:08,2.0,,,
1752497229000000000,944,1217,1392,2025-07-14 12:47:09,1.0,,,
1752497230000000000,960,1216,1376,2025-07-14 12:47:10,1.0,,,
1752497232000000000,944,1216,1424,2025-07-14 12:47:12,2.0,,,
1752497233000000000,960,1216,1392,2025-07-14 12:47:13,1.0,,,
1752497234000000000,960,1201,1408,2025-07-14 12:47:14,1.0,,,
1752497236000000000,944,1217,1392,2025-07-14 12:47:16,2.0,,,
1752497237000000000,944,1201,1361,2025-07-14 12:47:17,1.0,,,
1752497238000000000,945,1200,1424,2025-07-14 12:47:18,1.0,,,
1752497240000000000,960,1217,1376,2025-07-14 12:47:20,2.0,,,
1752497241000000000,960,1201,1424,2025-07-14 12:47:21,1.0,,,
1752497242000000000,928,1232,1409,2025-07-14 12:47:22,1.0,,,
1752497244000000000,944,1201,1360,2025-07-14 12:47:24,2.0,,,
1752497245000000000,928,1216,1425,2025-07-14 12:47:25,1.0,,,
1752497246000000000,945,1232,1377,2025-07-14 12:47:26,1.0,,,
1752497248000000000,960,1217,1393,2025-07-14 12:47:28,2.0,,,
1752497249000000000,929,1217,1424,2025-07-14 12:47:29,1.0,,,
1752497250000000000,929,1216,1376,2025-07-14 12:47:30,1.0,,,
1752497252000000000,928,1201,1409,2025-07-14 12:47:32,2.0,,,
1752497253000000000,928,1216,1393,2025-07-14 12:47:33,1.0,,,
1752497254000000000,945,1200,1425,2025-07-14 12:47:34,1.0,,,
1752497256000000000,944,1216,1440,2025-07-14 12:47:36,2.0,,,
1752497257000000000,944,1216,1376,2025-07-14 12:47:37,1.0,,,
1752497258000000000,944,1200,1393,2025-07-14 12:47:38,1.0,,,
1752497260000000000,928,1216,1377,2025-07-14 12:47:40,2.0,,,
1752497261000000000,945,1200,1361,2025-07-14 12:47:41,1.0,,,
1752497262000000000,929,1216,1424,2025-07-14 12:47:42,1.0,,,
1752497264000000000,960,1232,1376,2025-07-14 12:47:44,2.0,,,
1752497265000000000,960,1217,1425,2025-07-14 12:47:45,1.0,,,
1752497266000000000,945,1216,1441,2025-07-14 12:47:46,1.0,,,
1752497268000000000,960,1217,1376,2025-07-14 12:47:48,2.0,,,
1752497269000000000,944,1216,1425,2025-07-14 12:47:49,1.0,,,
1752497270000000000,928,1217,1408,2025-07-14 12:47:50,1.0,,,
1752497272000000000,945,1217,1393,2025-07-14 12:47:52,2.0,,,
1752497273000000000,944,1232,1456,2025-07-14 12:47:53,1.0,,,
1752497274000000000,944,1232,1408,2025-07-14 12:47:54,1.0,,,
1752497276000000000,944,1217,1441,2025-07-14 12:47:56,2.0,,,
1752497277000000000,928,1232,1441,2025-07-14 12:47:57,1.0,,,
1752497278000000000,928,1216,1376,2025-07-14 12:47:58,1.0,,,
1752497280000000000,928,1216,1440,2025-07-14 12:48:00,2.0,,,
1752497281000000000,928,1216,1408,2025-07-14 12:48:01,1.0,,,
1752497282000000000,944,1217,1424,2025-07-14 12:48:02,1.0,,,
1752497284000000000,945,1217,1456,2025-07-14 12:48:04,2.0,,,
1752497285000000000,945,1232,1393,2025-07-14 12:48:05,1.0,,,
1752497286000000000,960,1216,1424,2025-07-14 12:48:06,1.0,,,
1752497288000000000,929,1216,1409,2025-07-14 12:48:08,2.0,,,
1752497289000000000,960,1217,1392,2025-07-14 12:48:09,1.0,,,
1752497290000000000,945,1217,1457,2025-07-14 12:48:10,1.0,,,
1752497292000000000,960,1233,1409,2025-07-14 12:48:12,2.0,,,
1752497293000000000,960,1217,1424,2025-07-14 12:48:13,1.0,,,
1752497294000000000,945,1216,1409,2025-07-14 12:48:14,1.0,,,
1752497296000000000,993,1217,1377,2025-07-14 12:48:16,2.0,,,
1752497297000000000,976,1216,1440,2025-07-14 12:48:17,1.0,,,
1752497298000000000,992,1233,1409,2025-07-14 12:48:18,1.0,,,
1752497302000000000,976,1216,1825,2025-07-14 12:48:22,4.0,,,
1752497303000000000,977,1232,1505,2025-07-14 12:48:23,1.0,,,
1752497305000000000,993,1233,1425,2025-07-14 12:48:25,2.0,,,
1752497306000000000,976,1217,1440,2025-07-14 12:48:26,1.0,,,
1752497307000000000,945,1233,1409,2025-07-14 12:48:27,1.0,,,
1752497309000000000,993,1217,1408,2025-07-14 12:48:29,2.0,,,
1752497310000000000,993,1232,1456,2025-07-14 12:48:30,1.0,,,
1752497311000000000,976,1217,1377,2025-07-14 12:48:31,1.0,,,
1752497313000000000,993,1216,1408,2025-07-14 12:48:33,2.0,,,
1752497314000000000,992,1232,1393,2025-07-14 12:48:34,1.0,,,
1752497315000000000,1041,1216,1424,2025-07-14 12:48:35,1.0,,,
1752497317000000000,1040,1233,1424,2025-07-14 12:48:37,2.0,,,
1752497318000000000,1040,1217,1376,2025-07-14 12:48:38,1.0,,,
1752497319000000000,1040,1232,1425,2025-07-14 12:48:39,1.0,,,
1752497321000000000,1041,1232,1377,2025-07-14 12:48:41,2.0,,,
1752497322000000000,1041,1217,1424,2025-07-14 12:48:42,1.0,,,
1752497323000000000,1008,1233,1393,2025-07-14 12:48:43,1.0,,,
1752497325000000000,992,1216,1424,2025-07-14 12:48:45,2.0,,,
1752497326000000000,1008,1233,1440,2025-07-14 12:48:46,1.0,,,
1752497327000000000,992,1216,1376,2025-07-14 12:48:47,1.0,,,
1752497329000000000,1024,1217,1424,2025-07-14 12:48:49,2.0,,,
1752497330000000000,1009,1233,1392,2025-07-14 12:48:50,1.0,,,
1752497331000000000,1009,1217,1408,2025-07-14 12:48:51,1.0,,,
1752497333000000000,977,1232,1409,2025-07-14 12:48:53,2.0,,,
1752497334000000000,1009,1217,1393,2025-07-14 12:48:54,1.0,,,
